comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  datatype  protocol  input_size  preprocess  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.00          3                  NA                 1         1          128         0           0.001368            0.00                 3             100
0.00          7                  NA                 1         1          256         0           0.002333            0.00                 7             100
0.02          7                  NA                 1         1          4096        0           0.015753            0.02                 7             88
0.01          3                  NA                 1         2          128         0           0.001662            0.01                 3             55
0.01          5                  NA                 1         2          256         0           0.002792            0.01                 5             81
0.02          5                  NA                 1         2          4096        0           0.021454            0.02                 5             72
0.00          3                  NA                 1         3          128         0           0.001771            0.00                 3             71
0.00          3                  NA                 1         3          256         0           0.002092            0.00                 3             80
0.02          5                  NA                 1         3          4096        0           0.015367            0.02                 5             63
0.00          3                  NA                 1         4          128         0           0.001535            0.00                 3             55
0.00          5                  NA                 1         4          256         0           0.002134            0.00                 5             85
0.02          6                  NA                 1         4          4096        0           0.014703            0.02                 6             52
0.00          3                  NA                 8         1          128         0           0.001505            0.00                 3             85
0.01          3                  NA                 8         1          256         0           0.002153            0.01                 3             61
0.02          5                  NA                 8         1          4096        0           0.016536            0.02                 5             88
0.00          5                  NA                 8         2          128         0           0.001550            0.00                 5             125
0.00          4                  NA                 8         2          256         0           0.002686            0.00                 4             80
0.82          7                  NA                 8         2          4096        0           0.024894            0.82                 7             3
0.00          5                  NA                 8         3          128         0           0.001660            0.00                 5             100
0.00          3                  NA                 8         3          256         0           0.002010            0.00                 3             83
0.02          5                  NA                 8         3          4096        0           0.016986            0.02                 5             61
0.01          3                  NA                 8         4          128         0           0.001502            0.01                 3             58
0.00          3                  NA                 8         4          256         0           0.001881            0.00                 3             62
0.02          5                  NA                 8         4          4096        0           0.012418            0.02                 5             60
0.00          4                  NA                 64        1          128         0           0.002921            0.00                 4             100
0.01          6                  NA                 64        1          256         0           0.004843            0.01                 6             60
0.07          19                 NA                 64        1          4096        0           0.049895            0.07                 19            57
0.00          4                  NA                 64        2          128         0           0.003941            0.00                 4             75
0.01          6                  NA                 64        2          256         0           0.006507            0.01                 6             69
0.10          21                 NA                 64        2          4096        0           0.073977            0.10                 21            52
0.00          4                  NA                 64        3          128         0           0.004121            0.00                 4             57
0.01          4                  NA                 64        3          256         0           0.006323            0.01                 4             41
0.09          15                 NA                 64        3          4096        0           0.071219            0.09                 15            34
0.00          7                  NA                 64        4          128         0           0.003588            0.00                 7             77
0.01          5                  NA                 64        4          256         0           0.004859            0.01                 5             60
0.08          15                 NA                 64        4          4096        0           0.059827            0.08                 15            44
0.01          6                  NA                 128       1          128         0           0.004910            0.01                 6             66
0.01          6                  NA                 128       1          256         0           0.008298            0.01                 6             66
0.14          35                 NA                 128       1          4096        0           0.098255            0.14                 35            58
0.01          6                  NA                 128       2          128         0           0.006068            0.01                 6             75
0.01          6                  NA                 128       2          256         0           0.011406            0.01                 6             58
0.17          39                 NA                 128       2          4096        0           0.140818            0.17                 39            47
0.01          6                  NA                 128       3          128         0           0.006269            0.01                 6             46
0.02          5                  NA                 128       3          256         0           0.011060            0.02                 5             31
0.17          29                 NA                 128       3          4096        0           0.139942            0.17                 29            33
0.01          6                  NA                 128       4          128         0           0.005389            0.01                 6             66
0.01          7                  NA                 128       4          256         0           0.008637            0.01                 7             56
0.15          27                 NA                 128       4          4096        0           0.117230            0.15                 27            36
0.01          5                  NA                 256       1          128         0           0.008760            0.01                 5             57
0.02          7                  NA                 256       1          256         0           0.015696            0.02                 7             57
0.29          67                 NA                 256       1          4096        0           0.240835            0.29                 67            46
0.01          7                  NA                 256       2          128         0           0.010491            0.01                 7             58
0.02          8                  NA                 256       2          256         0           0.018697            0.02                 8             50
0.31          75                 NA                 256       2          4096        0           0.256721            0.31                 75            40
0.01          6                  NA                 256       3          128         0           0.009879            0.01                 6             47
0.02          6                  NA                 256       3          256         0           0.018465            0.02                 6             44
0.31          51                 NA                 256       3          4096        0           0.255716            0.31                 51            29
0.01          5                  NA                 256       4          128         0           0.008751            0.01                 5             53
0.02          6                  NA                 256       4          256         0           0.015386            0.02                 6             50
0.28          55                 NA                 256       4          4096        0           0.226311            0.28                 55            33
