nodes             program              c.domain  adv.model      protocol  partysize  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  cpus  freqs(GHz)  input_size  runtime(s)  maxPhyRAM(MiB)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)    Tx(rounds)  Tx(s)        Rx(MB)    Rx(rounds)  Rx(s)        Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)   Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)    Ex(rounds)  Ex(s)       Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
valga,tapa,rapla  35_set_intersection  FIELD     maldishonest   mascot    3          10            1             NA            NA            NA            NA           1040          630              NA               74             8     3           10          1.71488     NA              ~446          176.474         488.193          NA        NA          NA           NA        NA          NA           NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
valga,tapa,rapla  35_set_intersection  FIELD     maldishonest   mascot    3          50            1             NA            NA            NA            NA           5200          3150             NA               354            8     3           50          4.23794     NA              ~1780         492.572         1435.84          NA        NA          NA           NA        NA          NA           NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
valga,tapa,rapla  35_set_intersection  FIELD     maldishonest   mascot    3          100           1             NA            NA            NA            NA           10400         6300             NA               704            8     3           100         7.26124     NA              ~3428         853.872         2518.96          NA        NA          NA           NA        NA          NA           NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
valga,tapa,rapla  35_set_intersection  FIELD     maldishonest   mascot    3          150           1             NA            NA            NA            NA           15600         9450             NA               1054           8     3           150         10.1796     NA              ~5076         1215.17         3602.07          NA        NA          NA           NA        NA          NA           NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
valga,tapa,rapla  35_set_intersection  FIELD     maldishonest   mascot    3          200           1             NA            NA            NA            NA           20800         12600            NA               1404           8     3           200         14.096      NA              ~6724         1576.47         4685.19          NA        NA          NA           NA        NA          NA           NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
valga,tapa,rapla  35_set_intersection  FIELD     maldishonest   mascot    3          250           1             NA            NA            NA            NA           26000         15750            NA               1754           8     3           250         16.0679     NA              ~8372         1937.77         5768.31          NA        NA          NA           NA        NA          NA           NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
valga,tapa,rapla  35_set_intersection  FIELD     maldishonest   mascot    3          300           1             NA            NA            NA            NA           31200         18900            NA               2104           8     3           300         19.2524     NA              ~10054        2344.23         6986.81          NA        NA          NA           NA        NA          NA           NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
valga,tapa,rapla  35_set_intersection  FIELD     maldishonest   mascot    3          350           1             NA            NA            NA            NA           36400         22050            NA               2454           8     3           350         22.6503     NA              ~11728        2750.63         8205.18          NA        NA          NA           NA        NA          NA           NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
valga,tapa,rapla  35_set_intersection  FIELD     maldishonest   mascot    3          400           1             NA            NA            NA            NA           41600         25200            NA               2804           8     3           400         25.9244     NA              ~13376        3111.93         9288.3           NA        NA          NA           NA        NA          NA           NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
valga,tapa,rapla  35_set_intersection  FIELD     maldishonest   mascot    3          450           1             NA            NA            NA            NA           46800         28350            NA               3154           8     3           450         28.6772     NA              ~15024        3473.23         10371.4          NA        NA          NA           NA        NA          NA           NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
