nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
dogecoin,dogecoincash,dogecoingold;42_scalable_search;FIELD;semihonest;atlas;NA;NA;14;5;0.00580712;14;~16;0.014397;0.042039
dogecoin,dogecoincash,dogecoingold;42_scalable_search;FIELD;semihonest;atlas;NA;NA;59;50;0.00867887;15;~16;0.023937;0.059139
dogecoin,dogecoincash,dogecoingold;42_scalable_search;FIELD;semihonest;atlas;NA;NA;109;100;0.0227218;20;~16;0.034537;0.078139
dogecoin,dogecoincash,dogecoingold;42_scalable_search;FIELD;semihonest;atlas;NA;NA;209;200;0.0361743;25;~18;0.069073;0.156147
dogecoin,dogecoincash,dogecoingold;42_scalable_search;FIELD;maldishonest;mascot;NA;NA;14;5;0.675528;87;~161;26.2977;77.6312
dogecoin,dogecoincash,dogecoingold;42_scalable_search;FIELD;maldishonest;mascot;NA;NA;59;50;0.708656;87;~161;26.3148;77.6596
dogecoin,dogecoincash,dogecoingold;42_scalable_search;FIELD;maldishonest;mascot;NA;NA;109;100;0.715107;90;~161;26.3338;77.6912
dogecoin,dogecoincash,dogecoingold;42_scalable_search;FIELD;maldishonest;mascot;NA;NA;209;200;1.42118;102;~244;52.6172;154.907
dogecoin,dogecoincash,dogecoingold;42_scalable_search;RING;semihonest;replicated-ring;NA;NA;14;5;0.0021331;13;~10;0.000659;0.001401
dogecoin,dogecoincash,dogecoingold;42_scalable_search;RING;semihonest;replicated-ring;NA;NA;59;50;0.00504062;15;~10;0.006374;0.012786
dogecoin,dogecoincash,dogecoingold;42_scalable_search;RING;semihonest;replicated-ring;NA;NA;109;100;0.00919348;17;~10;0.012724;0.025436
dogecoin,dogecoincash,dogecoingold;42_scalable_search;RING;semihonest;replicated-ring;NA;NA;209;200;0.0156309;23;~10;0.025424;0.050736
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;malhonest;malicious-ccd;NA;NA;14;5;0.0330579;12;NA;0.895304;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;malhonest;malicious-ccd;NA;NA;59;50;0.037853;15;NA;1.0321;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;malhonest;malicious-ccd;NA;NA;109;100;0.0488985;17;NA;1.1841;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;malhonest;malicious-ccd;NA;NA;209;200;0.104398;25;NA;2.36819;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;semihonest;ccd;NA;NA;14;5;0.00259884;11;NA;0.001271;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;semihonest;ccd;NA;NA;59;50;0.00737777;13;NA;0.012701;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;semihonest;ccd;NA;NA;109;100;0.0123105;17;NA;0.025401;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;semihonest;ccd;NA;NA;209;200;0.0247696;23;NA;0.050801;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;semidishonest;yao;NA;NA;14;5;0.0154533;13;NA;0.010081;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;semidishonest;yao;NA;NA;59;50;0.0194876;13;NA;0.100801;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;semidishonest;yao;NA;NA;109;100;0.0219312;15;NA;0.201601;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;semidishonest;yao;NA;NA;209;200;0.0285347;21;NA;0.403201;NA
