program  c.domain  adv.model      protocol           partysize  comp.time(s)  comp.peakRAM(MiB)  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)    Tx(rounds)  Tx(s)        Rx(MB)    Rx(rounds)  Rx(s)       Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)   Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)    Ex(rounds)  Ex(s)        Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
43       BINARY    maldishonest   tinier             3          0.72          31                 NA            NA            NA            192           192           NA           NA            NA               567              12             3           0.791719             0.86                 81            104        NA            26.282          NA               0.9383    26          0.00402717   0.938492  28          0.779614    0.000488       21                 0.0187715     6.4e-05   2             0.742063  NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00284536   25.0102     64              0.954326   0.161792    1               0.745859   0.323584    2               1.50706    0.000192     1                0.738968
43       BINARY    maldishonest   tinier             3          1.88          61                 NA            NA            NA            384           384           NA           NA            NA               2268             15             6           0.773141             0.85                 81            105        NA            26.2892         NA               0.94511   26          0.00439077   0.945494  28          0.763445    0.000488       21                 0.0192201     6.4e-05   2             0.727595  NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00741985   25.0102     64              0.915289   0.161792    1               0.731815   0.323584    2               1.47836    0.000384     1                0.7243
43       BINARY    maldishonest   tinier             3          4.24          117                NA            NA            NA            576           576           NA           NA            NA               5103             18             9           0.77261              0.88                 83            104        NA            26.3009         NA               0.956456  26          0.00475945   0.957032  28          0.766119    0.000488       21                 0.0183139     6.4e-05   2             0.727825  NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00092705   25.0102     64              0.912295   0.161792    1               0.731601   0.323584    2               1.47833    0.000576     1                0.724245
43       BINARY    maldishonest   tinier             3          7.43          186                NA            NA            NA            768           768           NA           NA            NA               9072             21             12          0.806991             0.94                 89            101        NA            26.3172         NA               0.972338  26          0.00510427   0.973106  28          0.800473    0.000488       21                 0.0194429     6.4e-05   2             0.76009   NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.0130088    25.0102     64              0.942963   0.161792    1               0.76366    0.323584    2               1.54145    0.000768     1                0.756584
43       BINARY    maldishonest   tinier             3          11.73         286                NA            NA            NA            960           960           NA           NA            NA               14175            24             15          1.54356              1.69                 98            104        NA            52.2596         NA               1.92875   34          0.00567815   1.92971   36          1.56104     0.000688       29                 0.0467228     6.4e-05   2             1.49436   NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00140924   49.9953     112             1.48554    0.161792    1               1.49813    0.323584    2               3.01126    0.00096      1                1.49054
43       BINARY    maldishonest   tinier             3          16.76         417                NA            NA            NA            1152          1152          NA           NA            NA               20412            27             18          1.55794              1.75                 103           105        NA            52.2849         NA               1.9537    34          0.00638692   1.95486   36          1.57473     0.000688       29                 0.0404674     6.4e-05   2             1.50949   NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00621818   49.9953     112             1.39733    0.161792    1               1.51322    0.323584    2               3.04035    0.001152     1                1.50563
43       BINARY    maldishonest   tinier             3          22.79         543                NA            NA            NA            1344          1344          NA           NA            NA               27783            30             21          2.36373              2.59                 110           101        NA            78.2363         NA               2.91919   42          0.00598506   2.92053   44          2.41559     0.000888       37                 0.0712214     6.4e-05   2             2.31404   NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00135828   74.9805     160             2.03537    0.161792    1               2.31801    0.323584    2               4.64936    0.001344     1                2.31013
43       BINARY    maldishonest   tinier             3          29.52         679                NA            NA            NA            1536          1536          NA           NA            NA               36288            33             24          2.9558               3.23                 114           108        NA            104.192         NA               3.88921   50          0.00649252   3.89074   52          3.03041     0.001088       45                 0.0786025     6.4e-05   2             2.90316   NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00113733   99.9657     208             2.26076    0.161792    1               2.90682    0.323584    2               5.82855    0.001536     1                2.89843
43       BINARY    maldishonest   tinier             3          37.28         906                NA            NA            NA            1728          1728          NA           NA            NA               45927            36             27          2.99029              3.31                 128           108        NA            104.231         NA               3.92777   50          0.0103426    3.9295    52          3.06551     0.001088       45                 0.0765534     6.4e-05   2             2.93636   NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00336864   99.9657     208             2.27683    0.161792    1               2.93982    0.323584    2               5.89435    0.001728     1                2.93196
43       BINARY    maldishonest   tinier             3          46.05         1064               NA            NA            NA            1920          1920          NA           NA            NA               56700            39             30          3.9138               4.29                 133           103        NA            130.196         NA               4.90686   58          0.00913011   4.90878   60          4.01422     0.001288       53                 0.0858247     6.4e-05   2             3.8595    NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00119085   124.951     256             2.8514     0.161792    1               3.8632     0.323584    2               7.74074    0.00192      1                3.85471
43       BINARY    maldishonest   tinier             3          56.49         1268               NA            NA            NA            2112          2112          NA           NA            NA               68607            42             33          4.63508              5.05                 140           104        NA            156.166         NA               5.89049   66          0.0121392    5.8926    68          4.76624     0.001488       61                 0.113776      6.4e-05   2             4.57498   NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00346074   149.936     304             3.38105    0.161792    1               4.5786     0.323584    2               9.17246    0.002112     1                4.57088
43       BINARY    maldishonest   tinier             3          66.25         1602               NA            NA            NA            2304          2304          NA           NA            NA               81648            45             36          5.37634              5.89                 147           105        NA            182.14          NA               6.87865   74          0.0134513    6.88096   76          5.54004     0.001688       69                 0.13951       6.4e-05   2             5.31564   NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00260824   174.921     352             3.86198    0.161792    1               5.3194     0.323584    2               10.6535    0.002304     1                5.31039
43       BINARY    maldishonest   tinier             3          78.67         1850               NA            NA            NA            2496          2496          NA           NA            NA               95823            48             39          5.82774              6.41                 159           108        NA            208.119         NA               7.87135   82          0.011894     7.87385   84          6.00002     0.001888       77                 0.111639      6.4e-05   2             5.77101   NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.0124052    199.906     400             4.07348    0.161792    1               5.77471    0.323584    2               11.5649    0.002496     1                5.76648
43       BINARY    maldishonest   tinier             3          90.25         2098               NA            NA            NA            2688          2688          NA           NA            NA               111132           51             42          7.5795               8.23                 178           104        NA            260.023         NA               9.80458   98          0.0114245    9.80727   100         7.82156     0.002288       93                 0.160079      6.4e-05   2             7.51555   NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.000887843  249.877     496             5.12042    0.161792    1               7.51938    0.323584    2               15.0524    0.002688     1                7.51019
43       BINARY    maldishonest   tinier             3          103.26        2372               NA            NA            NA            2880          2880          NA           NA            NA               127575           54             45          8.00707              8.74                 193           108        NA            286.011         NA               10.8064   106         0.0132478    10.8092   108         8.26561     0.002488       101                0.164278      6.4e-05   2             7.93992   NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.000941903  274.862     544             5.49818    0.161792    1               7.94372    0.323584    2               15.9018    0.00288      1                7.93494
43       BINARY    maldishonest   tinier             3          117.80        2626               NA            NA            NA            3072          3072          NA           NA            NA               145152           57             48          9.7895               10.61                216           102        NA            337.925         NA               12.7487   122         0.0136737    12.7517   124         10.1143     0.002888       117                0.212842      6.4e-05   2             9.72185   NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00131084   324.832     640             7.03144    0.161792    1               9.7256     0.323584    2               19.4663    0.003072     1                9.71677
43       BINARY    maldishonest   tinier             3          131.88        3176               NA            NA            NA            3264          3264          NA           NA            NA               163863           60             51          10.2103              11.16                212           108        NA            363.922         NA               13.7595   130         0.0173329    13.7628   132         10.5755     0.003088       125                0.230916      6.4e-05   2             10.1377   NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00515208   349.817     688             6.91989    0.161792    1               10.1412    0.323584    2               20.2965    0.003264     1                10.1318
43       BINARY    maldishonest   tinier             3          150.14        3511               NA            NA            NA            3456          3456          NA           NA            NA               183708           63             54          11.7053              12.73                243           107        NA            415.845         NA               15.7109   146         0.0164864    15.7143   148         12.0944     0.003488       141                0.276719      6.4e-05   2             11.6287   NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00858079   399.788     784             7.83397    0.161792    1               11.6322    0.323584    2               23.2801    0.003456     1                11.6238
43       BINARY    maldishonest   tinier             3          164.38        3847               NA            NA            NA            3648          3648          NA           NA            NA               204687           66             57          12.9784              14.12                259           108        NA            467.772         NA               17.6668   162         0.0170074    17.6704   164         13.4078     0.003888       157                0.278953      6.4e-05   2             12.9004   NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00414702   449.758     880             8.62607    0.161792    1               12.9042    0.323584    2               25.8229    0.003648     1                12.8937
43       BINARY    maldishonest   tinier             3          186.20        4205               NA            NA            NA            3840          3840          NA           NA            NA               226800           69             60          13.716               14.95                259           108        NA            493.783         NA               18.6912   170         0.0211775    18.6951   172         14.1979     0.004088       165                0.299211      6.4e-05   2             13.6373   NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00114554   474.743     928             9.00706    0.161792    1               13.641     0.323584    2               27.2972    0.00384      1                13.6312
43       BINARY    maldishonest   tinier             3          203.59        4583               NA            NA            NA            4032          4032          NA           NA            NA               250047           72             63          15.1397              16.51                273           107        NA            545.719         NA               20.6562   186         0.0205866    20.6603   188         15.6758     0.004488       181                0.399369      6.4e-05   2             15.0591   NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00124548   524.714     1024            10.1625    0.161792    1               15.0628    0.323584    2               30.1399    0.004032     1                15.053
43       BINARY    maldishonest   tinier             3          220.37        4954               NA            NA            NA            4224          4224          NA           NA            NA               274428           75             66          16.666               18.14                304           108        NA            597.66          NA               22.6257   202         0.0226662    22.63     204         17.2309     0.004888       197                0.370605      6.4e-05   2             16.575    NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00133758   574.684     1120            11.0035    0.161792    1               16.5791    0.323584    2               33.1722    0.004224     1                16.5681
43       BINARY    maldishonest   tinier             3          242.38        5368               NA            NA            NA            4416          4416          NA           NA            NA               299943           78             69          18.0624              19.74                324           108        NA            649.606         NA               24.5998   218         0.0238791    24.6042   220         18.6988     0.005288       213                0.39774       6.4e-05   2             17.9754   NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00135514   624.654     1216            11.8975    0.161792    1               17.9789    0.323584    2               35.9722    0.004416     1                17.9687
43       BINARY    maldishonest   tinier             3          266.77        6196               NA            NA            NA            4608          4608          NA           NA            NA               326592           81             72          20.1663              21.96                342           109        NA            727.477         NA               27.5144   242         0.0271072    27.519    244         20.8866     0.005888       237                0.443425      6.4e-05   2             20.0633   NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00129522   699.61      1360            13.1144    0.161792    1               20.0666    0.323584    2               40.1475    0.004608     1                20.056
43       BINARY    maldishonest   tinier             3          285.80        6700               NA            NA            NA            4800          4800          NA           NA            NA               354375           84             75          22.6648              24.61                374           104        NA            779.432         NA               29.4975   258         0.0278868    29.5023   260         23.4203     0.006288       253                0.454459      6.4e-05   2             22.5429   NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.0186612    749.58      1456            14.4349    0.161792    1               22.5466    0.323584    2               45.1082    0.0048       1                22.5356
43       BINARY    maldishonest   tinier             3          309.66        7144               NA            NA            NA            4992          4992          NA           NA            NA               383292           87             78          23.0654              25.19                398           108        NA            831.391         NA               31.4852   274         0.0308982    31.4902   276         23.8916     0.006688       269                0.483819      6.4e-05   2             22.9704   NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00130916   799.551     1552            15.0271    0.161792    1               22.9742    0.323584    2               45.9621    0.004992     1                22.9632
43       BINARY    maldishonest   tinier             3          333.41        7651               NA            NA            NA            5184          5184          NA           NA            NA               413343           90             81          25.3808              27.58                404           110        NA            909.277         NA               34.4134   298         0.0306882    34.4185   300         26.3023     0.007288       293                0.531396      6.4e-05   2             25.2822   NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00139428   874.506     1696            16.1343    0.161792    1               25.286     0.323584    2               50.5869    0.005184     1                25.2754
43       BINARY    maldishonest   tinier             3          352.56        8131               NA            NA            NA            5376          5376          NA           NA            NA               444528           93             84          27.2724              29.71                432           106        NA            987.166         NA               37.3461   322         0.0328492    37.3515   324         28.2294     0.007888       317                0.700971      6.4e-05   2             27.1522   NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.0823267    949.462     1840            18.3552    0.161792    1               27.1556    0.323584    2               54.3256    0.005376     1                27.1449
43       BINARY    maldishonest   tinier             3          385.73        8713               NA            NA            NA            5568          5568          NA           NA            NA               476847           96             87          30.1171              32.62                454           104        NA            1039.14         NA               39.3474   338         0.0376986    39.3529   340         31.1646     0.008288       333                0.820974      6.4e-05   2             30.0087   NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.019408     999.432     1936            19.3413    0.161792    1               30.0126    0.323584    2               60.0397    0.005568     1                30.0008
43       BINARY    maldishonest   tinier             3          413.21        9230               NA            NA            NA            5760          5760          NA           NA            NA               510300           99             90          31.0091              33.67                480           108        NA            1117.04         NA               42.2892   362         0.0359524    42.2949   364         32.0886     0.008888       357                0.839904      6.4e-05   2             30.8706   NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00959389   1074.39     2080            20.0687    0.161792    1               30.8745    0.323584    2               61.7625    0.00576      1                30.8639
43       BINARY    maldishonest   tinier             3          432.99        9816               NA            NA            NA            5952          5952          NA           NA            NA               544887           102            93          33.1133              36.02                523           108        NA            1194.94         NA               45.2355   386         0.0389004    45.2414   388         34.2944     0.009488       381                0.65751       6.4e-05   2             32.9791   NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00122307   1149.34     2224            21.3806    0.161792    1               32.9829    0.323584    2               65.9802    0.005952     1                32.9715
43       BINARY    maldishonest   tinier             3          474.59        10391              NA            NA            NA            6144          6144          NA           NA            NA               580608           105            96          37.6511              40.68                543           102        NA            1272.85         NA               48.1864   410         0.0406206    48.1925   412         38.8562     0.010088       405                0.928303      6.4e-05   2             37.4949   NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.0276125    1224.3      2368            26.2509    0.161792    1               37.4989    0.323584    2               75.0123    0.006144     1                37.4874
43       BINARY    maldishonest   tinier             3          497.70        11758              NA            NA            NA            6336          6336          NA           NA            NA               617463           108            99          37.3335              40.69                575           106        NA            1350.76         NA               51.1418   434         0.0461994    51.1481   436         38.6981     0.010688       429                0.791027      6.4e-05   2             37.2043   NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00129743   1299.25     2512            24.8317    0.161792    1               37.2081    0.323584    2               74.4305    0.006336     1                37.1968
43       BINARY    maldishonest   tinier             3          530.14        12433              NA            NA            NA            6528          6528          NA           NA            NA               655452           111            102         41.2768              44.78                589           104        NA            1428.68         NA               54.1017   458         0.0471744    54.1082   460         42.5675     0.011288       453                0.931261      6.4e-05   2             41.1274   NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00126355   1374.21     2656            26.2268    0.161792    1               41.1312    0.323584    2               82.2762    0.006528     1                41.1192
43       BINARY    maldishonest   tinier             3          551.14        13133              NA            NA            NA            6720          6720          NA           NA            NA               694575           114            105         41.705               45.39                626           108        NA            1506.6          NA               57.0662   482         0.0497975    57.0729   484         43.1923     0.011984       481                0.94501       6.4e-05   2             41.5417   NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00156375   1449.17     2800            27.1019    0.161792    1               41.5457    0.323584    2               83.1052    0.00672      1                41.5344
43       BINARY    maldishonest   tinier             3          594.77        13772              NA            NA            NA            6912          6912          NA           NA            NA               734832           117            108         46.5733              50.46                657           104        NA            1610.45         NA               60.9712   514         0.0502134    60.9781   516         48.1357     0.012784       513                0.972627      6.4e-05   2             46.412    NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00118486   1549.11     2992            29.8141    0.161792    1               46.4155    0.323584    2               92.8455    0.006912     1                46.404
43       BINARY    maldishonest   tinier             3          622.33        14441              NA            NA            NA            7104          7104          NA           NA            NA               776223           120            111         48.6266              53.01                693           103        NA            1688.38         NA               63.9448   538         0.0553242    63.9519   540         50.2704     0.013384       537                1.08911       6.4e-05   2             48.4611   NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00145574   1624.06     3136            32.0099    0.161792    1               48.465     0.323584    2               96.9436    0.007104     1                48.4534
43       BINARY    maldishonest   tinier             3          662.70        15129              NA            NA            NA            7296          7296          NA           NA            NA               818748           123            114         49.7128              54.01                710           109        NA            1792.24         NA               67.8588   570         0.0559786    67.8661   572         51.4918     0.014184       569                1.15317       6.4e-05   2             49.5352   NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.0232168    1724        3328            31.6745    0.161792    1               49.5392    0.323584    2               99.0922    0.007296     1                49.5273
43       BINARY    maldishonest   tinier             3          690.55        15828              NA            NA            NA            7488          7488          NA           NA            NA               862407           126            117         51.7318              56.22                750           108        NA            1870.18         NA               70.8415   594         0.0597697    70.849    596         53.5231     0.014784       593                1.13369       6.4e-05   2             51.5497   NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00727035   1798.96     3472            33.209     0.161792    1               51.5535    0.323584    2               103.12     0.007488     1                51.541
43       BINARY    maldishonest   tinier             3          733.16        16557              NA            NA            NA            7680          7680          NA           NA            NA               907200           129            120         56.997               61.71                783           105        NA            1974.04         NA               74.7646   626         0.0585329    74.7723   628         58.906      0.015584       625                1.25902       6.4e-05   2             56.8024   NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.0147176    1898.9      3664            35.6265    0.161792    1               56.8069    0.323584    2               113.628    0.00768      1                56.7948
43       BINARY    maldishonest   tinier             3          765.42        17297              NA            NA            NA            7872          7872          NA           NA            NA               953127           132            123         57.2986              62.24                800           108        NA            2077.91         NA               78.6923   658         0.0658318    78.7002   660         59.4454     0.016384       657                1.43792       6.4e-05   2             57.1293   NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00125789   1998.84     3856            36.8395    0.161792    1               57.1332    0.323584    2               114.281    0.007872     1                57.1204
43       BINARY    maldishonest   tinier             3          806.79        18057              NA            NA            NA            8064          8064          NA           NA            NA               1000188          135            126         63.2888              68.44                831           105        NA            2181.79         NA               82.6245   690         0.0715392    82.6326   692         65.4296     0.017184       689                1.43719       6.4e-05   2             63.0903   NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00128586   2098.78     4048            38.9557    0.161792    1               63.0941    0.323584    2               126.202    0.008064     1                63.0817
43       BINARY    maldishonest   tinier             3          838.56        18836              NA            NA            NA            8256          8256          NA           NA            NA               1048383          138            129         67.6315              73.06                881           103        NA            2285.67         NA               86.5613   722         0.0700246    86.5695   724         69.7974     0.017984       721                1.6079        6.4e-05   2             67.4194   NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.0645341    2198.72     4240            46.2356    0.161792    1               67.4236    0.323584    2               134.86     0.008256     1                67.41
43       BINARY    maldishonest   tinier             3          901.10        19638              NA            NA            NA            8448          8448          NA           NA            NA               1097712          141            132         65.7956              71.44                917           108        NA            2389.55         NA               90.5026   754         0.0722897    90.511    756         68.3146     0.018784       753                1.58015       6.4e-05   2             65.5947   NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.0310928    2298.66     4432            42.1221    0.161792    1               65.5988    0.323584    2               131.211    0.008448     1                65.5857
43       BINARY    maldishonest   tinier             3          926.50        20457              NA            NA            NA            8640          8640          NA           NA            NA               1148175          144            135         68.8583              74.72                953           108        NA            2493.44         NA               94.4484   786         0.077239     94.4571   788         71.3189     0.019584       785                1.40856       6.4e-05   2             68.6444   NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00128317   2398.6      4624            43.9818    0.161792    1               68.6487    0.323584    2               137.311    0.00864      1                68.6345
43       BINARY    maldishonest   tinier             3          960.87        21276              NA            NA            NA            8832          8832          NA           NA            NA               1199772          147            138         72.0617              78.53                1124          108        NA            2597.33         NA               98.3988   818         0.0860357    98.4076   820         74.7352     0.020384       817                1.62142       6.4e-05   2             71.8368   NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00135826   2498.54     4816            46.0532    0.161792    1               71.841     0.323584    2               143.695    0.008832     1                71.8273
43       BINARY    maldishonest   tinier             3          1014.58       23777              NA            NA            NA            9024          9024          NA           NA            NA               1252503          150            141         80.3749              87.21                1124          103        NA            2727.15         NA               103.29    858         0.0879271    103.299   860         83.001      0.021384       857                1.993         6.4e-05   2             80.1458   NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00165069   2623.47     5056            55.3883    0.161792    1               80.1499    0.323584    2               160.313    0.009024     1                80.136
43       BINARY    maldishonest   tinier             3          1049.64       24688              NA            NA            NA            9216          9216          NA           NA            NA               1306368          153            144         78.2581              85.56                1123          108        NA            2831.05         NA               107.249   890         0.0877045    107.258   892         81.1145     0.022184       889                2.0825        6.4e-05   2             78.0229   NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00271354   2723.41     5248            49.7027    0.161792    1               78.0273    0.323584    2               156.068    0.009216     1                78.0143
43       BINARY    maldishonest   tinier             3          1086.65       25564              NA            NA            NA            9408          9408          NA           NA            NA               1361367          156            147         81.8913              89.08                1127          108        NA            2960.88         NA               112.149   930         0.092581     112.159   932         84.9261     0.02328        933                1.83513       6.4e-05   2             81.6503   NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00142684   2848.34     5488            52.5732    0.161792    1               81.6544    0.323584    2               163.323    0.009408     1                81.6404
43       BINARY    semidishonest  semi-bin           3          0.72          31                 NA            NA            NA            192           192           NA           NA            NA               567              12             3           0.442742             0.51                 197           146        NA            21.795          NA               0.018192  14          0.00076521   0.018192  14          0.00361193  NA             NA                 NA            3.2e-05   1             0.4358    NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00276218   21.7682     4               0.499065   NA          NA              NA         NA          NA              NA         NA           NA               NA
43       BINARY    semidishonest  semi-bin           3          1.88          61                 NA            NA            NA            384           384           NA           NA            NA               2268             15             6           0.519548             0.59                 199           152        NA            21.8494         NA               0.072672  14          0.000760049  0.072672  14          0.00601795  NA             NA                 NA            3.2e-05   1             0.511778  NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00121835   21.7682     4               0.671653   NA          NA              NA         NA          NA              NA         NA           NA               NA
43       BINARY    semidishonest  semi-bin           3          4.24          117                NA            NA            NA            576           576           NA           NA            NA               5103             18             9           0.461262             0.55                 199           143        NA            21.9402         NA               0.16344   14          0.000895118  0.16344   14          0.0209999   NA             NA                 NA            3.2e-05   1             0.45225   NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00142929   21.7682     4               0.55908    NA          NA              NA         NA          NA              NA         NA           NA               NA
43       BINARY    semidishonest  semi-bin           3          7.43          186                NA            NA            NA            768           768           NA           NA            NA               9072             21             12          0.44781              0.55                 206           146        NA            22.0673         NA               0.290496  14          0.00106211   0.290496  14          0.0143308   NA             NA                 NA            3.2e-05   1             0.440588  NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00186743   21.7682     4               0.517434   NA          NA              NA         NA          NA              NA         NA           NA               NA
43       BINARY    semidishonest  semi-bin           3          11.73         286                NA            NA            NA            960           960           NA           NA            NA               14175            24             15          0.48351              0.63                 206           140        NA            22.2306         NA               0.45384   14          0.00102939   0.45384   14          0.0192756   NA             NA                 NA            3.2e-05   1             0.474949  NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00124431   21.7682     4               0.590837   NA          NA              NA         NA          NA              NA         NA           NA               NA
43       BINARY    semidishonest  semi-bin           3          16.76         417                NA            NA            NA            1152          1152          NA           NA            NA               20412            27             18          0.481408             0.65                 208           137        NA            22.4302         NA               0.653472  14          0.00102344   0.653472  14          0.0261964   NA             NA                 NA            3.2e-05   1             0.47394   NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00295657   21.7682     4               0.576821   NA          NA              NA         NA          NA              NA         NA           NA               NA
