nodes                               program              c.domain  adv.model      protocol         partysize  input_size  runtime(s)  maxPhyRAM(MiB)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
dogecoin,dogecoincash,dogecoingold  35_set_intersection  FIELD     semihonest     atlas            3          5           0.00543026  NA              ~16           0.014397        0.042039
dogecoin,dogecoincash,dogecoingold  35_set_intersection  FIELD     semihonest     atlas            3          50          0.0106247   NA              ~16           0.023937        0.059139
dogecoin,dogecoincash,dogecoingold  35_set_intersection  FIELD     semihonest     atlas            3          100         0.0211066   NA              ~16           0.034537        0.078139
dogecoin,dogecoincash,dogecoingold  35_set_intersection  FIELD     semihonest     atlas            3          200         0.0393921   NA              ~18           0.069073        0.156147
dogecoin,dogecoincash,dogecoingold  35_set_intersection  FIELD     maldishonest   mascot           3          5           0.685451    NA              ~161          26.2977         77.6312
dogecoin,dogecoincash,dogecoingold  35_set_intersection  FIELD     maldishonest   mascot           3          50          0.674774    NA              ~161          26.3148         77.6596
dogecoin,dogecoincash,dogecoingold  35_set_intersection  FIELD     maldishonest   mascot           3          100         0.678601    NA              ~161          26.3338         77.6912
dogecoin,dogecoincash,dogecoingold  35_set_intersection  FIELD     maldishonest   mascot           3          200         1.39105     NA              ~244          52.6172         154.907
dogecoin,dogecoincash,dogecoingold  35_set_intersection  RING      semihonest     replicated-ring  3          5           0.00262179  NA              ~10           0.000659        0.001401
dogecoin,dogecoincash,dogecoingold  35_set_intersection  RING      semihonest     replicated-ring  3          50          0.00562726  NA              ~10           0.006374        0.012786
dogecoin,dogecoincash,dogecoingold  35_set_intersection  RING      semihonest     replicated-ring  3          100         0.0110598   NA              ~10           0.012724        0.025436
dogecoin,dogecoincash,dogecoingold  35_set_intersection  RING      semihonest     replicated-ring  3          200         0.0152224   NA              ~10           0.025424        0.050736
dogecoin,dogecoincash,dogecoingold  35_set_intersection  BINARY    malhonest      malicious-ccd    3          5           0.0426043   NA              NA            0.895304        NA
dogecoin,dogecoincash,dogecoingold  35_set_intersection  BINARY    malhonest      malicious-ccd    3          50          0.0417385   NA              NA            1.0321          NA
dogecoin,dogecoincash,dogecoingold  35_set_intersection  BINARY    malhonest      malicious-ccd    3          100         0.0540218   NA              NA            1.1841          NA
dogecoin,dogecoincash,dogecoingold  35_set_intersection  BINARY    malhonest      malicious-ccd    3          200         0.115835    NA              NA            2.36819         NA
dogecoin,dogecoincash,dogecoingold  35_set_intersection  BINARY    semihonest     ccd              3          5           0.00293543  NA              NA            0.001271        NA
dogecoin,dogecoincash,dogecoingold  35_set_intersection  BINARY    semihonest     ccd              3          50          0.0083479   NA              NA            0.012701        NA
dogecoin,dogecoincash,dogecoingold  35_set_intersection  BINARY    semihonest     ccd              3          100         0.0127582   NA              NA            0.025401        NA
dogecoin,dogecoincash,dogecoingold  35_set_intersection  BINARY    semihonest     ccd              3          200         0.0280711   NA              NA            0.050801        NA
dogecoin,dogecoincash,dogecoingold  35_set_intersection  BINARY    semidishonest  yao              2          5           0.0158101   NA              NA            0.010081        NA
dogecoin,dogecoincash,dogecoingold  35_set_intersection  BINARY    semidishonest  yao              2          50          0.0190015   NA              NA            0.100801        NA
dogecoin,dogecoincash,dogecoingold  35_set_intersection  BINARY    semidishonest  yao              2          100         0.0218421   NA              NA            0.201601        NA
dogecoin,dogecoincash,dogecoingold  35_set_intersection  BINARY    semidishonest  yao              2          200         0.0279256   NA              NA            0.403201        NA
