nodes                               program              c.domain  adv.model      protocol  comp.intbits  comp.inttriples  comp.vmrounds  latencies(ms)  input_size  runtime(s)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
dogecoin,dogecoincash,dogecoingold  35_set_intersection  FIELD     semihonest     atlas     21840         13440            1691           5              10          18.2486     ~3435         6.96096         16.5523
dogecoin,dogecoincash,dogecoingold  35_set_intersection  FIELD     semihonest     atlas     85280         52480            6581           5              20          70.1271     ~13301        18.2677         44.6829
dogecoin,dogecoincash,dogecoingold  35_set_intersection  FIELD     semihonest     atlas     NA            NA               NA             50             10          170.742     ~3435         6.96096         16.5523
dogecoin,dogecoincash,dogecoingold  35_set_intersection  FIELD     semihonest     atlas     NA            NA               NA             50             20          657.022     ~13301        18.2677         44.6829
dogecoin,dogecoincash,dogecoingold  35_set_intersection  FIELD     maldishonest   mascot    21840         13440            1691           5              10          59.0544     ~7943         1666.77         4996.89
dogecoin,dogecoincash,dogecoingold  35_set_intersection  FIELD     maldishonest   mascot    85280         52480            6581           5              20          221.407     ~30693        6318.35         18941.7
dogecoin,dogecoincash,dogecoingold  35_set_intersection  FIELD     maldishonest   mascot    NA            NA               NA             50             10          270.535     ~7943         1666.77         4996.89
dogecoin,dogecoincash,dogecoingold  35_set_intersection  FIELD     maldishonest   mascot    NA            NA               NA             50             20          1036.52     ~30693        6318.35         18941.7
dogecoin,dogecoincash,dogecoingold  35_set_intersection  FIELD     semidishonest  temi      21840         13440            1691           5              10          22.2038     ~6982         21.918          47.7474
dogecoin,dogecoincash,dogecoingold  35_set_intersection  FIELD     semidishonest  temi      85280         52480            6581           5              20          84.7031     ~27162        75.676          164.651
dogecoin,dogecoincash,dogecoingold  35_set_intersection  FIELD     semidishonest  temi      NA            NA               NA             50             10          185.761     ~6982         21.9183         47.7485
dogecoin,dogecoincash,dogecoingold  35_set_intersection  FIELD     semidishonest  temi      NA            NA               NA             50             20          713.7       ~27162        75.6753         164.65
dogecoin,dogecoincash,dogecoingold  35_set_intersection  FIELD     semihonest     shamir    21840         13440            1691           5              10          10.3855     ~1917         2.03744         6.10176
dogecoin,dogecoincash,dogecoingold  35_set_intersection  FIELD     semihonest     shamir    85280         52480            6581           5              20          39.9681     ~7439         6.50688         19.4803
dogecoin,dogecoincash,dogecoingold  35_set_intersection  FIELD     semihonest     shamir    NA            NA               NA             50             10          97.2739     ~1917         2.03744         6.10176
dogecoin,dogecoincash,dogecoingold  35_set_intersection  FIELD     semihonest     shamir    NA            NA               NA             50             20          375.429     ~7439         6.50688         19.4803
dogecoin,dogecoincash,dogecoingold  35_set_intersection  BINARY    semidishonest  semi-bin  NA            30590            2781           5              10          20.3031     NA            22.7558         NA
dogecoin,dogecoincash,dogecoingold  35_set_intersection  BINARY    semidishonest  semi-bin  NA            111980           9161           5              20          69.0672     NA            25.3604         NA
dogecoin,dogecoincash,dogecoingold  35_set_intersection  BINARY    semidishonest  semi-bin  NA            NA               NA             50             10          190.581     NA            22.7558         NA
dogecoin,dogecoincash,dogecoingold  35_set_intersection  BINARY    semidishonest  semi-bin  NA            NA               NA             50             20          661.153     NA            25.3604         NA
dogecoin,dogecoincash,dogecoingold  35_set_intersection  BINARY    semidishonest  yao       NA            30590            2781           5              10          0.205086    NA            0.97952         NA
dogecoin,dogecoincash,dogecoingold  35_set_intersection  BINARY    semidishonest  yao       NA            111980           9161           5              20          0.376316    NA            3.58464         NA
dogecoin,dogecoincash,dogecoingold  35_set_intersection  BINARY    semidishonest  yao       NA            NA               NA             50             10          1.63272     NA            0.97952         NA
dogecoin,dogecoincash,dogecoingold  35_set_intersection  BINARY    semidishonest  yao       NA            NA               NA             50             20          2.90344     NA            3.58464         NA
dogecoin,dogecoincash,dogecoingold  35_set_intersection  BINARY    semihonest     ccd       NA            30590            2781           5              10          9.98031     NA            0.0631          NA
dogecoin,dogecoincash,dogecoingold  35_set_intersection  BINARY    semihonest     ccd       NA            111980           9161           5              20          34.886      NA            0.2278          NA
dogecoin,dogecoincash,dogecoingold  35_set_intersection  BINARY    semihonest     ccd       NA            NA               NA             50             10          94.7329     NA            0.0631          NA
dogecoin,dogecoincash,dogecoingold  35_set_intersection  BINARY    semihonest     ccd       NA            NA               NA             50             20          330.245     NA            0.2278          NA
