program  c.domain  adv.model      protocol          partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)    Tx(rounds)  Tx(s)        Rx(MB)    Rx(rounds)  Rx(s)        Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)    Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)  Ex(rounds)  Ex(s)  Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
31       FIELD     semihonest     shamir            3          0.34          28                 1                  4             1             NA            NA            NA            NA           416           252              NA               31             4           0.0248825            0.11                 15            60         ~38           0.648352        1.62459          NA        NA          NA           NA        NA          NA           NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     shamir            3          0.16          18                 1                  6             1             NA            NA            NA            NA           624           378              NA               45             6           0.0237288            0.11                 16            55         ~54           0.652512        1.63685          NA        NA          NA           NA        NA          NA           NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     shamir            3          0.16          18                 1                  8             1             NA            NA            NA            NA           832           504              NA               59             8           0.0256061            0.11                 15            61         ~70           0.656672        1.6491           NA        NA          NA           NA        NA          NA           NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     shamir            3          0.17          18                 1                  10            1             NA            NA            NA            NA           1040          630              NA               73             10          0.026603             0.10                 15            59         ~86           0.660832        1.66136          NA        NA          NA           NA        NA          NA           NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     shamir            3          0.17          18                 1                  12            1             NA            NA            NA            NA           1248          756              NA               87             12          0.0333981            0.11                 15            61         ~102          0.664992        1.67362          NA        NA          NA           NA        NA          NA           NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     shamir            3          0.17          18                 1                  14            1             NA            NA            NA            NA           1456          882              NA               101            14          0.0321824            0.12                 15            57         ~118          0.669152        1.68587          NA        NA          NA           NA        NA          NA           NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     malhonest      malicious-shamir  3          0.34          28                 1                  4             1             NA            NA            NA            NA           416           252              NA               31             4           0.118838             0.20                 22            75         ~48           3.53669         10.2898          NA        NA          NA           NA        NA          NA           NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     malhonest      malicious-shamir  3          0.16          18                 1                  6             1             NA            NA            NA            NA           624           378              NA               45             6           0.114433             0.20                 24            78         ~62           3.54488         10.3143          NA        NA          NA           NA        NA          NA           NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     malhonest      malicious-shamir  3          0.16          18                 1                  8             1             NA            NA            NA            NA           832           504              NA               59             8           0.10695              0.19                 23            79         ~76           3.55307         10.3387          NA        NA          NA           NA        NA          NA           NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     malhonest      malicious-shamir  3          0.17          18                 1                  10            1             NA            NA            NA            NA           1040          630              NA               73             10          0.114816             0.20                 23            80         ~90           3.56126         10.3632          NA        NA          NA           NA        NA          NA           NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
